feature,mi_score
home_rushing_rushingYardsPerGame,0.06260301201141516
away_rushing_yardsFromScrimmagePerGame,0.062442585361786485
away_rushing_netYardsPerGame,0.06218703512824719
away_passing_totalYards,0.06195770083357166
away_receiving_totalYards,0.06166881216065612
away_passing_passingAttempts,0.061420044982753996
away_rushing_totalYardsFromScrimmage,0.06135379990286527
away_passing_netTotalYards,0.06118152322068893
home_rushing_rushingYards,0.06112922730561898
home_scoring_totalTouchdowns,0.06112738268231288
away_rushing_totalYards,0.0610775107511734
away_receiving_netTotalYards,0.060606842730501764
away_defensive_passesBattedDown,0.060319909605200284
away_scoring_totalTouchdowns,0.060255427461321176
away_defensive_passesDefended,0.059822347340002135
away_passing_interceptionPct,0.05969449502647395
away_downs_firstDownRushing,0.059373868496325866
away_miscellaneous_firstDownsRushing,0.059051542615102814
away_scoring_rushingTouchdowns,0.057849998038106865
home_defensive_passesDefended,0.05784367982646588
away_passing_yardsFromScrimmagePerGame,0.05743414071382036
away_passing_interceptions,0.05671300105725985
home_passing_interceptions,0.05571914876762296
home_defensive_yardsAllowed,0.055555430153034546
home_miscellaneous_firstDownsRushing,0.05550621625218177
home_downs_firstDownRushing,0.0551141965338493
away_passing_yardsPerCompletion,0.05508373146845402
home_passing_interceptionPct,0.05502040273361386
home_passing_totalYardsFromScrimmage,0.054396459905095895
away_receiving_yardsFromScrimmagePerGame,0.05428794104366341
away_rushing_rushingTouchdowns,0.053955292431167035
home_defensive_avgInterceptionYards,0.05367239884250097
home_defensive_yardsAllowedPerGame,0.05361956504279641
away_receiving_netYardsPerGame,0.05333326478873879
away_rushing_rushingFirstDowns,0.052260988666518404
home_defensive_passesBattedDown,0.05221055120011586
home_rushing_netYardsPerGame,0.05140291921885343
home_receiving_yardsFromScrimmagePerGame,0.051297392502953176
away_defensive_sackYards,0.05124282004216596
home_passing_yardsFromScrimmagePerGame,0.05080260502843981
home_rushing_rushingFirstDowns,0.050597281081709244
home_passing_netYardsPerGame,0.049979615805480826
home_defensiveInterceptions_interceptionYards,0.04880072601446361
away_defensive_avgInterceptionYards,0.048189753973371996
home_rushing_totalYardsFromScrimmage,0.047897109915714164
home_rushing_netTotalYards,0.04765805566884351
home_passing_netTotalYards,0.047543522408823424
home_receiving_netTotalYards,0.04691047369776857
home_passing_totalYards,0.04626718600749413
away_defensiveInterceptions_interceptionYards,0.045825169864266435
home_receiving_totalYardsFromScrimmage,0.04582242523055413
home_rushing_rushingTouchdowns,0.04532244214948733
away_rushing_totalTouchdowns,0.04468593250084796
away_defensive_sacks,0.04458331011324779
home_receiving_netYardsPerGame,0.04440538129221894
home_kicking_kickoffReturnYards,0.044321243746467065
away_defensive_interceptionYards,0.044132086016078986
away_rushing_stuffs,0.043883503648073585
home_rushing_totalYards,0.04385134186422901
home_defensive_interceptionYards,0.04342021111137617
home_receiving_totalYards,0.04330919354965834
home_rushing_yardsFromScrimmagePerGame,0.0432361179581382
home_defensive_sackYards,0.04274621957389124
home_defensive_longInterception,0.042527387452341525
away_miscellaneous_thirdDownConvPct,0.04228089625721099
home_rushing_totalTouchdowns,0.0419695244506717
away_downs_firstDownPercentage,0.041248560827445324
home_defensive_sacks,0.041153495295982445
away_diff_total_differential_roll5,0.04104257865528371
home_passing_yardsPerCompletion,0.04100130066914298
home_downs_thirdDownConversionPct,0.04034792890274286
away_passing_sacks,0.0396977188997929
away_downs_thirdDownConversions,0.03880507729576532
away_returning_kickReturnYards,0.03879566486605368
away_passing_sackYardsLost,0.03845527580111208
away_scoring_receivingTouchdowns,0.03790141876647679
away_kicking_kickoffReturnYards,0.037683344015215336
home_miscellaneous_thirdDownConvPct,0.037355952216052035
home_rushing_stuffs,0.03730646927694803
away_miscellaneous_firstDowns,0.0372412585068429
home_scoring_rushingTouchdowns,0.037018386086723254
home_passing_sacks,0.03693045669037076
home_passing_sackYardsLost,0.036694801301276225
away_diff_total_differential_roll3,0.03622748569456524
home_diff_point_diff_trend,0.03598429628738353
home_scoring_receivingTouchdowns,0.035600473118105214
