feature,abs_corr
away_rushing_rushingFirstDowns,0.3189471996199511
away_scoring_rushingTouchdowns,0.3156794401653666
away_rushing_rushingTouchdowns,0.3156794401653666
away_rushing_totalTouchdowns,0.3156794401653666
away_passing_avgGain,0.31160947597723976
home_passing_yardsPerPassAttempt,0.3106654599229696
home_defensive_rushingYardsAllowed,0.30806912303645656
home_defensive_rushingYardsAllowedPerGame,0.30806912303645656
home_rushing_rushingYardsPerGame,0.30275121091794394
home_rushing_rushingYards,0.30275121091794394
home_rushing_yardsPerGame,0.30275121091794394
home_defensive_passesBattedDown,0.30038873651363546
home_defensive_passesDefended,0.30038873651363546
home_passing_avgGain,0.2942134364488559
away_defensive_sacks,0.2940392620392712
away_receiving_yardsPerTarget,0.2872262702847213
away_defensive_sackYards,0.28632076147096325
home_miscellaneous_firstDownsRushing,0.2813176532182924
home_rushing_rushingFirstDowns,0.2813176532182924
home_downs_firstDownRushing,0.2813176532182924
home_defensive_sackYards,0.2783353032380558
away_defensive_rushingYardsAllowed,0.27811220328647407
away_defensive_rushingYardsAllowedPerGame,0.27811220328647407
home_rushing_rushingTouchdowns,0.2755992006932894
home_rushing_totalTouchdowns,0.2755992006932894
home_scoring_rushingTouchdowns,0.2755992006932894
home_defensive_sacks,0.2720563299521487
home_receiving_yardsPerTarget,0.2719298315529513
away_diff_total_differential_roll5,0.27166288706713615
home_diff_total_differential_roll5,0.27166288706713615
home_passing_sacks,0.26809783495639955
away_passing_interceptionPct,0.2653826244607753
away_kicking_fieldGoalsMade,0.2650602507327841
away_scoring_fieldGoals,0.2650602507327841
home_passing_interceptionPct,0.26390266987723227
away_rushing_netYardsPerGame,0.26296814289499126
away_receiving_netTotalYards,0.26296814289499126
away_receiving_yardsFromScrimmagePerGame,0.26296814289499126
away_rushing_yardsFromScrimmagePerGame,0.26296814289499126
away_passing_yardsFromScrimmagePerGame,0.26296814289499126
away_receiving_totalYardsFromScrimmage,0.26296814289499126
away_receiving_netYardsPerGame,0.26296814289499126
away_rushing_netTotalYards,0.26296814289499126
away_passing_netTotalYards,0.26296814289499126
away_rushing_totalYardsFromScrimmage,0.26296814289499126
away_passing_totalYards,0.26296814289499126
away_rushing_totalYards,0.26296814289499126
away_passing_totalYardsFromScrimmage,0.26296814289499126
away_receiving_totalYards,0.26296814289499126
away_passing_netYardsPerGame,0.26296814289499126
away_passing_sackYardsLost,0.26287906160305313
away_defensive_interceptionYards,0.26099648754944516
away_defensiveInterceptions_interceptionYards,0.26099648754944516
home_passing_sackYardsLost,0.2602876206831321
away_rushing_stuffs,0.2567947645729746
away_passing_sacks,0.2556668476475277
home_defensive_interceptionYards,0.25030041835323713
home_defensiveInterceptions_interceptionYards,0.25030041835323713
home_kicking_kickoffReturnYards,0.24990486056752967
home_passing_passingTouchdowns,0.24963888881718546
home_receiving_receivingTouchdowns,0.24963888881718546
home_scoring_receivingTouchdowns,0.24963888881718546
home_receiving_totalTouchdowns,0.24963888881718546
home_scoring_passingTouchdowns,0.24963888881718546
home_passing_totalTouchdowns,0.24963888881718546
home_returning_kickReturnYards,0.24647789530278397
away_passing_totalTouchdowns,0.24478593272200141
away_scoring_passingTouchdowns,0.24478593272200141
away_receiving_totalTouchdowns,0.24478593272200141
away_scoring_receivingTouchdowns,0.24478593272200141
away_receiving_receivingTouchdowns,0.24478593272200141
away_passing_passingTouchdowns,0.24478593272200141
away_miscellaneous_thirdDownConvPct,0.24414970634839067
away_downs_thirdDownConversionPct,0.24414970634839067
away_kicking_fieldGoalsMadeYards,0.24404609186994233
away_diff_total_pointsFor_roll5,0.2437639542796411
home_diff_total_pointsFor_roll5,0.2437639542796411
away_defensive_longInterception,0.24177030378421394
home_defensive_longInterception,0.2413678384789757
away_kicking_fieldGoalAttempts,0.24075105149650872
home_diff_point_diff_trend,0.238605350690176
away_diff_total_differential_roll3,0.238605350690176
home_diff_total_differential_roll3,0.238605350690176
away_diff_point_diff_trend,0.238605350690176
home_rushing_stuffs,0.2377080202165168
away_passing_yardsPerCompletion,0.237032967049893
away_downs_thirdDownConversions,0.23285617335786457
away_miscellaneous_thirdDownConvs,0.23285617335786457
away_kicking_kickoffReturnYards,0.23129556452717848
home_receiving_netTotalYards,0.2300125286747886
home_passing_totalYards,0.2300125286747886
home_receiving_totalYards,0.2300125286747886
home_passing_netTotalYards,0.2300125286747886
home_rushing_netTotalYards,0.2300125286747886
home_rushing_totalYards,0.2300125286747886
home_passing_netYardsPerGame,0.2300125286747886
home_receiving_totalYardsFromScrimmage,0.2300125286747886
home_receiving_netYardsPerGame,0.2300125286747886
home_receiving_yardsFromScrimmagePerGame,0.2300125286747886
home_rushing_yardsFromScrimmagePerGame,0.2300125286747886
home_passing_totalYardsFromScrimmage,0.2300125286747886
home_rushing_netYardsPerGame,0.2300125286747886
home_passing_yardsFromScrimmagePerGame,0.2300125286747886
home_rushing_totalYardsFromScrimmage,0.2300125286747886
away_returning_kickReturnYards,0.22724634805795926
home_kicking_fieldGoalsMade,0.22265173268923763
home_scoring_fieldGoals,0.22265173268923763
home_receiving_targets,0.2204400626765553
home_passing_netPassingAttempts,0.2204400626765553
home_passing_passingAttempts,0.2204400626765553
home_miscellaneous_thirdDownConvPct,0.21801113208768774
home_downs_thirdDownConversionPct,0.21801113208768774
away_scoring_defensivePoints,0.21643393981052286
away_defensive_defensiveTouchdowns,0.2164339398105215
away_defensive_totalTouchdowns,0.2164339398105215
home_passing_yardsPerCompletion,0.21619020592252364
away_diff_win_streak,0.21330906998560503
home_diff_win_streak,0.21330906998560503
away_diff_points_scored_trend,0.21265725309646435
home_diff_total_pointsFor_roll3,0.21265725309646435
away_diff_total_pointsFor_roll3,0.21265725309646435
home_diff_points_scored_trend,0.21265725309646435
away_rushing_rushingTouchdownPct,0.20857571449870246
away_kicking_fieldGoalAttemptYards,0.20830026392948567
home_total_differential_roll5,0.20724114061906232
home_total_pointDifferential_roll5,0.20724114061906232
away_miscellaneous_firstDownsPerGame,0.2065187079291741
away_downs_firstDowns,0.2065187079291741
away_miscellaneous_firstDowns,0.2065187079291741
away_opp_total_differential_roll5,0.20452663691451917
away_passing_completionPct,0.20445346212241258
away_receiving_catchPct,0.20445346212241258
home_defensive_fumblesRecovered,0.2043250689302771
home_returning_fumbleRecoveries,0.2043250689302771
home_returning_oppFumbleRecoveries,0.2043250689302771
away_rushing_rushingBigPlays,0.2039814320302968
home_kicking_fieldGoalsMadeYards,0.20300821749393924
home_passing_completionPct,0.20086908709825513
home_receiving_catchPct,0.20086908709825513
home_total_differential_std,0.20046810364578568
home_total_pointDifferential_std,0.20046810364578568
away_returning_oppFumbleRecoveries,0.19807224004681512
away_defensive_fumblesRecovered,0.19807224004681512
away_returning_fumbleRecoveries,0.19807224004681512
home_miscellaneous_thirdDownConvs,0.1971031451189798
home_downs_thirdDownConversions,0.1971031451189798
home_kicking_extraPointPct,0.19696498002737883
away_returning_defFumbleReturns,0.19658330095420218
away_receiving_targets,0.19654804396110084
away_passing_passingAttempts,0.19654804396110084
away_passing_netPassingAttempts,0.19654804396110084
away_kicking_extraPointPct,0.19616443123535152
home_returning_defFumbleReturns,0.1949850471409516
away_rushing_longRushing,0.1949216880263625
home_defensive_yardsAllowedPerGame,0.19020121353676414
home_defensive_yardsAllowed,0.19020121353676414
home_passing_passingFumbles,0.18981227795128208
away_defensiveInterceptions_interceptionTouchdowns,0.18939441140014593
away_defensive_interceptionTouchdowns,0.18939441140014593
home_passing_passingFumblesLost,0.18925238147653106
home_defensive_avgInterceptionYards,0.18836458494419106
away_downs_firstDownPercentage,0.18809441633859844
away_defensive_avgInterceptionYards,0.18802097527260656
away_total_OTWins,0.187994576950481
home_home_OTLosses,0.187994576950481
home_total_OTLosses,0.187994576950481
home_kicking_fieldGoalAttempts,0.18666521295882152
home_kicking_touchbacks,0.18657663252724688
home_total_losses_roll5,0.1860328036101115
home_scoring_defensivePoints,0.18551801902494183
home_defensive_totalTouchdowns,0.18551801902494156
home_defensive_defensiveTouchdowns,0.18551801902494156
home_total_wins_roll5,0.184908198532844
home_total_leagueWinPercent_roll5,0.18490819853284277
home_total_winPercent_roll5,0.18490819853284277
away_total_pointDifferential_std,0.18476743837469978
away_total_differential_std,0.18476743837469978
away_defensive_stuffYards,0.18242900385398214
away_general_fumblesForced,0.1816879049333833
away_total_differential_roll5,0.18058061257384914
away_total_pointDifferential_roll5,0.18058061257384914
home_rushing_rushingBigPlays,0.1801765675315301
home_defensive_stuffYards,0.17972707732457158
away_opp_total_differential_roll3,0.17915327724618552
away_opp_point_diff_trend,0.17915327724618552
home_opp_total_differential_roll5,0.17868630627866447
home_point_diff_trend,0.17785428423598826
home_total_pointDifferential_roll3,0.17785428423598823
home_total_differential_roll3,0.17785428423598823
home_rushing_rushingTouchdownPct,0.17722524411387386
