iter	Logloss
0	0.6920134951
1	0.6909405452
2	0.6898382809
3	0.688726566
4	0.6876429404
5	0.686593267
6	0.6855123103
7	0.6845640996
8	0.6835777365
9	0.6826087432
10	0.6816674455
11	0.6807274603
12	0.6798471977
13	0.6789114128
14	0.6780109802
15	0.6771277862
16	0.6762407419
17	0.6753553602
18	0.6745266385
19	0.6737173429
20	0.672938193
21	0.6721376043
22	0.6713689989
23	0.6706107628
24	0.6699032801
25	0.6691743147
26	0.6684859519
27	0.6678003892
28	0.6671131202
29	0.6664472026
30	0.6657988736
31	0.6651670832
32	0.6645436495
33	0.663941436
34	0.6633054453
35	0.6627406404
36	0.6621244697
37	0.661528119
38	0.6609227991
39	0.6603339301
40	0.6597515366
41	0.6592056767
42	0.6586403905
43	0.6581168445
44	0.657593386
45	0.6571031796
46	0.6566071979
47	0.6561176478
48	0.6555986083
49	0.6551314159
50	0.6546531541
51	0.654164129
52	0.6537012244
53	0.6532586648
54	0.6528438008
55	0.6524428063
56	0.6520053658
57	0.6516033651
58	0.6511406355
59	0.6507557421
60	0.6503683986
61	0.6499797425
62	0.6495768667
63	0.6492238253
64	0.6488387132
65	0.6484716272
66	0.6481006472
67	0.6477356176
68	0.6473806949
69	0.647031985
70	0.6466904507
71	0.6463799808
72	0.6460472845
73	0.6457001061
74	0.645355509
75	0.6450484081
76	0.6447495765
77	0.6444463696
78	0.6441639452
79	0.643874433
80	0.6435790141
81	0.6432959772
82	0.6430210346
83	0.6427270595
84	0.6424455978
85	0.6421849623
86	0.6419249832
87	0.641636346
88	0.6413444273
89	0.6410789791
90	0.6408175998
91	0.6405676838
92	0.6403122987
93	0.6400421689
94	0.6397895403
95	0.6395679761
96	0.6393302234
97	0.6391041089
98	0.6388653061
99	0.6386582679
100	0.6384552111
101	0.6382485229
102	0.63804656
103	0.6378360215
104	0.6375954686
105	0.6373718043
106	0.637156103
107	0.6369592591
108	0.6367598776
109	0.6365251001
110	0.6363293063
111	0.6361495261
112	0.6359619578
113	0.6358149922
114	0.6356400247
115	0.6354489562
116	0.6352593754
117	0.6350746073
118	0.6349009962
119	0.6347301852
120	0.634547386
121	0.6343789378
122	0.6342142085
123	0.634034647
124	0.6338292276
125	0.6336578041
126	0.6334975813
127	0.6333252391
128	0.6331637037
129	0.6330271512
130	0.63289073
131	0.6327436768
132	0.6325897982
133	0.6324336008
134	0.6322931105
135	0.6321452698
136	0.6320072735
137	0.6318568513
138	0.6317104107
139	0.6315736832
140	0.631421161
141	0.6312717889
142	0.6310957276
143	0.6309576875
144	0.6308095843
145	0.6306548744
146	0.6304929015
147	0.6303543802
148	0.6302320036
149	0.6300769874
150	0.6299328657
151	0.6297949569
152	0.6296790995
153	0.6295257459
154	0.6293972439
155	0.6292250767
156	0.629101125
157	0.6289951994
158	0.6289022685
159	0.6287903488
160	0.6286684535
161	0.6285301509
162	0.628413681
163	0.628303949
164	0.6281687966
165	0.628077747
166	0.6279302125
167	0.627828006
168	0.627706592
169	0.6275925722
170	0.6274772398
171	0.627355957
172	0.6272308678
173	0.6271255548
174	0.6270108787
175	0.6269198291
176	0.6267850267
177	0.6266923146
178	0.6265744883
179	0.6264758257
180	0.6263808384
181	0.6262643684
182	0.6261538926
183	0.6260479671
184	0.6259461543
185	0.6258564173
186	0.6257787561
187	0.6256854751
188	0.6255850624
189	0.6254603232
190	0.6253774992
191	0.6252945439
192	0.6251907622
193	0.6251036941
194	0.6250194262
195	0.6249373897
196	0.62486266
197	0.6247848237
198	0.6246900552
199	0.624601237
