week,games,spread_wr,totals_wr,ml_bets,ml_wr,ml_correct,win_accuracy
1,16,0.375,0.625,7,0.7142857142857143,5,0.75
2,16,0.625,0.5625,10,0.3,3,0.5625
3,16,0.625,0.625,11,0.36363636363636365,4,0.5625
4,16,0.375,0.5,11,0.36363636363636365,4,0.6875
5,14,0.5714285714285714,0.42857142857142855,11,0.6363636363636364,7,0.5714285714285714
6,16,0.5625,0.4375,9,0.4444444444444444,4,0.625
7,15,0.13333333333333333,0.6,11,0.5454545454545454,6,0.6666666666666666
8,14,0.42857142857142855,0.35714285714285715,10,0.5,5,0.7142857142857143
9,14,0.6428571428571429,0.21428571428571427,9,0.5555555555555556,5,0.5
10,14,0.6428571428571429,0.5714285714285714,8,0.625,5,0.6428571428571429
11,16,0.4375,0.5625,7,0.42857142857142855,3,0.6875
12,15,0.4,0.5333333333333333,7,0.2857142857142857,2,0.7333333333333333
13,16,0.75,0.5625,12,0.5833333333333334,7,0.5625
14,14,0.6428571428571429,0.42857142857142855,13,0.46153846153846156,6,0.5714285714285714
15,16,0.625,0.4375,12,0.5833333333333334,7,0.8125
