away_team,home_team,spread,vegas_home_prob,xgb_home_prob,log_home_prob,xgb_vs_vegas,log_vs_vegas,xgb_vs_log,abs_xgb_deviation
MIN,NYG,-2.5,0.44642857142857145,0.109974906,0.46649726968480176,-0.33645366558006834,0.02006869825623031,-0.35652236383629865,0.33645366558006834
SF,IND,-5.5,0.32786885245901637,0.06430011,0.30770235922507866,-0.2635687400327354,-0.02016649323393771,-0.24340224679879768,0.2635687400327354
ATL,ARI,-2.5,0.44642857142857145,0.19463357,0.38049076724923575,-0.25179499813488554,-0.0659378041793357,-0.18585719395554984,0.25179499813488554
CIN,MIA,-3.5,0.37037037037037035,0.14668907,0.38723060106252727,-0.22368129811905046,0.01686023069215692,-0.24054152881120738,0.22368129811905046
PHI,WAS,-7.0,0.25,0.026454277,0.255600481451262,-0.22354572266340256,0.005600481451262018,-0.22914620411466458,0.22354572266340256
TB,CAR,-3.0,0.43478260869565216,0.2337121,0.35904732050535626,-0.20107050175252167,-0.0757352881902959,-0.12533521356222577,0.20107050175252167
JAX,DEN,3.5,0.6363636363636364,0.4563601,0.5909503120870806,-0.18000353466380725,-0.045413324276555755,-0.1345902103872515,0.18000353466380725
BUF,CLE,-10.5,0.19047619047619047,0.018666297,0.2067721215657366,-0.17180989327884855,0.016295931089546134,-0.18810582436839468,0.17180989327884855
PIT,DET,7.5,0.803921568627451,0.93331164,0.6761744785657338,0.12939007258882707,-0.12774709006171725,0.2571371626505443,0.12939007258882707
LA,SEA,1.5,0.5495495495495496,0.66188973,0.606862692489872,0.11234018233445309,0.057313142940322415,0.05502703939413067,0.11234018233445309
NYJ,NO,6.5,0.7487437185929648,0.846624,0.7318215920073615,0.09788029816881494,-0.016922126585603325,0.11480242475441826,0.09788029816881494
NE,BAL,3.0,0.6428571428571429,0.58444107,0.5581648617108974,-0.05841607706887386,-0.0846922811462455,0.026276204077371634,0.05841607706887386
KC,TEN,-3.5,0.3937007874015748,0.44549233,0.42508350514543214,0.05179153981171253,0.031382717743857313,0.020408822067855215,0.05179153981171253
LV,HOU,14.5,0.9411764705882353,0.98530453,0.8865516840902924,0.044128063847036936,-0.05462478649794289,0.09875285034497983,0.044128063847036936
LAC,DAL,1.5,0.5495495495495496,0.534104,0.5477815164003359,-0.015445559948414345,-0.0017680331492136991,-0.013677526799200646,0.015445559948414345
GB,CHI,1.5,0.5412844036697247,0.53531617,0.6041977434768064,-0.005968234407792372,0.06291333980708169,-0.06888157421487406,0.005968234407792372
