game_id,season,game_type,week,gameday,weekday,gametime,away_team,away_score,home_team,home_score,location,result,total,overtime,old_game_id,gsis,nfl_detail_id,pfr,pff,espn,ftn,away_rest,home_rest,away_moneyline,home_moneyline,spread_line_x,away_spread_odds,home_spread_odds,total_line_x,under_odds,over_odds,div_game,roof,surface,temp,wind,away_qb_id,home_qb_id,away_qb_name,home_qb_name,away_coach,home_coach,referee,stadium_id,stadium,home_win,home_cover,game_total,over_hit,rest_advantage,is_dome,is_cold,is_windy,home_implied_prob,away_implied_prob,home_elo,away_elo,elo_diff,elo_prob_x,is_tnf,is_mnf,is_snf,is_primetime,is_grass,is_turf,is_freezing,is_very_cold,is_very_windy,bad_weather,home_short_week,away_short_week,home_off_bye,away_off_bye,home_cpoe_3wk,home_time_to_throw_3wk,away_cpoe_3wk,away_time_to_throw_3wk,home_pressure_rate_3wk,home_bad_throw_pct_3wk,away_pressure_rate_3wk,away_bad_throw_pct_3wk,home_injury_impact,home_injured_count,home_qb_out,away_injury_impact,away_injured_count,away_qb_out,home_ryoe_3wk,away_ryoe_3wk,home_separation_3wk,away_separation_3wk,cpoe_diff,pressure_diff,injury_diff,ryoe_diff,separation_diff,elo_prob_y,xgb_win_prob,lr_win_prob,ensemble_prob,pred_margin,spread_line_y,home_cover_prob,away_cover_prob,pred_total,total_line_y,over_prob,under_prob,xgb_ml_pick,lr_ml_pick,vegas_prob,vegas_ml_pick,xgb_spread_pick,xgb_total_pick
2025_01_MIN_CHI,2025,REG,1,2025-09-08,Monday,20:15,MIN,27.0,CHI,24.0,Home,-3.0,51.0,0.0,2025090800,59858.0,,202509080chi,28433.0,401772810,6749.0,7,7,-112.0,-108.0,-1.5,100.0,-120.0,43.5,-112.0,-108.0,1,outdoors,grass,68.0,6.0,00-0039923,00-0039918,J.J. McCarthy,Caleb Williams,Kevin O'Connell,Ben Johnson,Alan Eck,CHI98,Soldier Field,0,0,51.0,1,0,0,0,0,0.5192307692307693,0.5283018867924528,1378.0936612326589,1580.4877109488164,-202.3940497161575,0.29136504425509585,0,1,0,1,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0.29136504425509585,0.5650344,0.4355665508011645,0.45851339391052154,1.2496148,-1.5,0.4919894492738762,0.5080105507261238,43.805824,43.5,0.5097058162237493,0.49029418377625067,1,0,0.5192307692307693,1,0,1
2025_01_NYG_WAS,2025,REG,1,2025-09-07,Sunday,13:00,NYG,6.0,WAS,21.0,Home,15.0,27.0,0.0,2025090707,59852.0,,202509070was,28427.0,401772827,6743.0,7,7,240.0,-298.0,6.0,-108.0,-112.0,45.5,-110.0,-110.0,1,outdoors,grass,68.0,5.0,00-0029263,00-0039910,Russell Wilson,Jayden Daniels,Brian Daboll,Dan Quinn,Clay Martin,WAS00,FedExField,1,1,27.0,0,0,0,0,0,0.7487437185929648,0.29411764705882354,1647.0955507179967,1330.961785134315,316.1337655836817,0.8905257299518344,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0.8905257299518344,0.7884969,0.7066852300670844,0.7761780205088846,6.7713094,6.0,0.8471427070878128,0.1528572929121872,45.369553,45.5,0.4958597120951739,0.5041402879048261,1,1,0.7487437185929648,1,1,0
2025_01_PIT_NYJ,2025,REG,1,2025-09-07,Sunday,13:00,PIT,34.0,NYJ,32.0,Home,-2.0,66.0,0.0,2025090706,59851.0,,202509070nyj,28426.0,401772721,6742.0,7,7,-155.0,130.0,-3.0,-110.0,-110.0,37.5,-108.0,-112.0,0,outdoors,fieldturf,67.0,3.0,00-0023459,00-0036945,Aaron Rodgers,Justin Fields,Mike Tomlin,Aaron Glenn,Bill Vinovich,NYC01,MetLife Stadium,0,1,66.0,1,0,0,0,0,0.43478260869565216,0.6078431372549019,1457.5026627002692,1517.3683615787193,-59.865698878450075,0.482930522605067,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0.482930522605067,0.38153684,0.4355665508011645,0.42342746735895054,-2.8713307,-3.0,0.3188635244824996,0.6811364755175005,38.46071,37.5,0.5304629485867728,0.4695370514132272,0,0,0.43478260869565216,0,0,1
2025_01_SF_SEA,2025,REG,1,2025-09-07,Sunday,16:05,SF,17.0,SEA,13.0,Home,-4.0,30.0,0.0,2025090709,59854.0,,202509070sea,28429.0,401772831,6745.0,7,7,-135.0,114.0,-2.5,-105.0,-115.0,43.5,-112.0,-108.0,1,outdoors,fieldturf,67.0,6.0,00-0037834,00-0034869,Brock Purdy,Sam Darnold,Kyle Shanahan,Mike Macdonald,Shawn Hochuli,SEA00,Lumen Field,0,0,30.0,0,0,0,0,0,0.4672897196261682,0.574468085106383,1572.8123809886513,1416.069709975563,156.74267101308828,0.7646948270621479,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0.7646948270621479,0.37084147,0.403630759692234,0.4627278586257184,-0.846945,-2.5,0.3941864525739588,0.6058135474260412,43.420456,43.5,0.49747531123691713,0.5025246887630829,0,0,0.4672897196261682,0,0,0
2025_01_TB_ATL,2025,REG,1,2025-09-07,Sunday,13:00,TB,23.0,ATL,20.0,Home,-3.0,43.0,0.0,2025090700,59845.0,,202509070atl,28420.0,401772830,6736.0,7,7,-115.0,-105.0,-1.5,-102.0,-118.0,47.5,-105.0,-115.0,1,closed,fieldturf,70.0,0.0,00-0034855,00-0039917,Baker Mayfield,Michael Penix,Todd Bowles,Raheem Morris,Land Clark,ATL97,Mercedes-Benz Stadium,0,0,43.0,0,0,1,0,0,0.5121951219512195,0.5348837209302325,1398.485150881077,1553.1176217564337,-154.6324708753566,0.3511869657749764,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0.3511869657749764,0.4912022,0.4355665508011645,0.4409448986235095,-0.021683391,-1.5,0.45143422584314885,0.5485657741568511,46.602066,47.5,0.4715240602646279,0.5284759397353721,0,0,0.5121951219512195,1,0,0
2025_01_TEN_DEN,2025,REG,1,2025-09-07,Sunday,16:05,TEN,12.0,DEN,20.0,Home,8.0,32.0,0.0,2025090708,59853.0,,202509070den,28428.0,401772832,6744.0,7,7,350.0,-455.0,8.5,-105.0,-115.0,42.5,-108.0,-112.0,0,outdoors,grass,84.0,6.0,00-0040676,00-0039732,Cam Ward,Bo Nix,Brian Callahan,Sean Payton,Alex Kemp,DEN00,Empower Field at Mile High,1,0,32.0,0,0,0,0,0,0.8198198198198198,0.2222222222222222,1586.864195329873,1295.3104542535311,291.5537410763418,0.8759504514488797,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0.8759504514488797,0.6733947,0.7777424081633113,0.7556449434457713,10.233366,8.5,0.9335044858647279,0.0664955141352721,47.31678,42.5,0.6492221781980266,0.35077782180197337,1,1,0.8198198198198198,1,1,1
2025_02_ATL_MIN,2025,REG,2,2025-09-14,Sunday,20:20,ATL,22.0,MIN,6.0,Home,-16.0,28.0,0.0,2025091412,59872.0,,202509140min,28447.0,401772919,6763.0,7,6,150.0,-180.0,3.5,-115.0,-105.0,44.5,-110.0,-110.0,0,dome,sportturf,70.0,0.0,00-0039917,00-0039923,Michael Penix,J.J. McCarthy,Raheem Morris,Kevin O'Connell,Adrian Hill,MIN01,U.S. Bank Stadium,0,0,28.0,0,-1,1,0,0,0.6428571428571429,0.4,1598.2069328696982,1377.1278882135628,221.07904465613547,0.8247610869683023,0,0,1,1,0,1,0,0,0,0,1,0,0,0,-1.733000000000004,2.9446,-0.0007142857142810044,2.5588333333333333,0.292,0.15,0.106,0.122,,,,,,,,-1.0339861274693012,2.912591061695528,2.2555335430453387,-1.732285714285723,0.186,,,0.6570575186501895,0.8247610869683023,0.6540555,0.6246655884587996,0.6764406432526442,5.131377,3.5,0.755604841063459,0.24439515893654096,47.048904,44.5,0.5803503947137979,0.4196496052862021,1,1,0.6428571428571429,1,1,1
2025_02_BUF_NYJ,2025,REG,2,2025-09-14,Sunday,13:00,BUF,30.0,NYJ,10.0,Home,-20.0,40.0,0.0,2025091406,59866.0,,202509140nyj,28441.0,401772727,6757.0,7,7,-290.0,235.0,-6.0,-112.0,-108.0,47.5,-110.0,-110.0,1,outdoors,fieldturf,80.0,3.0,00-0034857,00-0036945,Josh Allen,Justin Fields,Sean McDermott,Aaron Glenn,Clete Blakeman,NYC01,MetLife Stadium,0,0,40.0,0,0,0,0,0,0.29850746268656714,0.7435897435897436,1434.204908313941,1721.1719707269538,-286.96706241301285,0.2017157853907008,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,3.625434782608693,2.982733333333333,0.231,0.045,0.096,0.133,,,,,,,1.468725637372763,-0.22850589981921623,3.7973944470010528,3.249471635488861,,0.135,,1.6972315371919793,0.5479228115121919,0.2017157853907008,0.27399698,0.24512403368114014,0.24799156363998603,-10.169942,-6.0,0.09734571016563481,0.9026542898343652,48.538944,47.5,0.5329382769034541,0.4670617230965459,0,0,0.29850746268656714,0,0,1
2025_02_CAR_ARI,2025,REG,2,2025-09-14,Sunday,16:05,CAR,22.0,ARI,27.0,Home,5.0,49.0,0.0,2025091409,59869.0,,202509140crd,28445.0,401772730,6760.0,7,7,250.0,-310.0,7.0,-110.0,-110.0,45.5,-110.0,-110.0,0,closed,grass,70.0,0.0,00-0039150,00-0035228,Bryce Young,Kyler Murray,Dave Canales,Jonathan Gannon,Ron Torbert,PHO00,State Farm Stadium,1,0,49.0,1,0,1,0,0,0.7560975609756098,0.2857142857142857,1505.0412214873822,1313.102367488546,191.9388539988363,0.7991835072862675,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-3.932413793103464,2.4810000000000003,-13.186,2.6573999999999995,0.216,0.207,0.125,0.206,,,,,,,-0.17727208214129084,-0.10303084833842346,3.2709512976608357,2.479225410459684,9.253586206896536,0.091,,-0.07424123380286737,0.7917258872011517,0.7991835072862675,0.7788894,0.7408921901550514,0.7677493505390647,7.741471,7.0,0.8814491140290217,0.11855088597097829,47.39879,45.5,0.5600385492474657,0.43996145075253434,1,1,0.7560975609756098,1,1,1
2025_02_CHI_DET,2025,REG,2,2025-09-14,Sunday,13:00,CHI,21.0,DET,52.0,Home,31.0,73.0,0.0,2025091403,59863.0,,202509140det,28438.0,401772835,6754.0,6,7,220.0,-270.0,6.0,-110.0,-110.0,46.5,-112.0,-108.0,1,dome,fieldturf,70.0,0.0,00-0039918,00-0033106,Caleb Williams,Jared Goff,Ben Johnson,Dan Campbell,Land Clark,DET00,Ford Field,1,1,73.0,1,1,1,0,0,0.7297297297297297,0.3125,1616.4188359399488,1360.374439311777,256.04439662817185,0.8519805782900688,0,0,0,0,0,1,0,0,0,0,0,1,0,0,8.28769230769231,3.0907948717948717,-13.541428571428597,3.0362857142857145,0.256,0.105,0.256,0.257,,,,,,,-1.0484501979584644,-1.3555583120577723,3.3784188115154334,4.091548585729705,21.829120879120907,0.0,,0.30710811409930794,-0.7131297742142717,0.8519805782900688,0.7394509,0.6963011017428969,0.7446969170538725,5.832523,6.0,0.8286808260963929,0.17131917390360707,46.007946,46.5,0.4843863374799753,0.5156136625200247,1,1,0.7297297297297297,1,1,0
2025_02_CLE_BAL,2025,REG,2,2025-09-14,Sunday,13:00,CLE,17.0,BAL,41.0,Home,24.0,58.0,0.0,2025091400,59860.0,,202509140rav,28435.0,401772726,6751.0,7,7,600.0,-900.0,12.5,-105.0,-115.0,46.5,-110.0,-110.0,1,outdoors,grass,82.0,3.0,00-0026158,00-0034796,Joe Flacco,Lamar Jackson,Kevin Stefanski,John Harbaugh,Brad Allen,BAL00,M&T Bank Stadium,1,1,58.0,1,0,0,0,0,0.9,0.14285714285714285,1694.0763696609076,1326.5318760450727,367.5444936158349,0.9162203221034626,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.2510526315789434,2.696157894736842,3.1893333333333374,2.8038666666666665,0.182,0.211,0.188,0.095,,,,,,,3.010082769632047,-1.0273207795084656,5.266421353303838,2.50757249315751,-2.938280701754394,-0.006000000000000005,,4.037403549140513,2.758848860146328,0.9162203221034626,0.9414859,0.8382624355409165,0.8951434032801561,16.329327,12.5,0.989614028745309,0.010385971254690984,47.783447,46.5,0.5406655643941067,0.45933443560589327,1,1,0.9,1,1,1
2025_02_DEN_IND,2025,REG,2,2025-09-14,Sunday,16:05,DEN,28.0,IND,29.0,Home,1.0,57.0,0.0,2025091410,59870.0,,202509140clt,28444.0,401772729,6761.0,7,7,-130.0,110.0,-2.5,-105.0,-115.0,43.5,-112.0,-108.0,0,closed,fieldturf,70.0,0.0,00-0039732,00-0035710,Bo Nix,Daniel Jones,Sean Payton,Shane Steichen,Craig Wrolstad,IND00,Lucas Oil Stadium,1,1,57.0,1,0,1,0,0,0.47619047619047616,0.5652173913043478,1493.295570346195,1598.7618615430627,-105.46629119686759,0.4180453598825466,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.612413793103428,2.5195517241379304,-1.1659999999999968,2.8272500000000003,0.182,0.103,0.238,0.184,,,,,,,-0.6346169267891395,0.6755571481667735,3.007572412223998,2.0441486479691098,7.778413793103425,-0.055999999999999994,,-1.310174074955913,0.9634237642548884,0.4180453598825466,0.44907454,0.4355665508011645,0.4374655099019938,-0.3840382,-2.5,0.40854122943052396,0.591458770569476,43.921955,43.5,0.5133902175548296,0.4866097824451704,0,0,0.47619047619047616,0,0,1
2025_02_JAX_CIN,2025,REG,2,2025-09-14,Sunday,13:00,JAX,27.0,CIN,31.0,Home,4.0,58.0,0.0,2025091401,59861.0,,202509140cin,28436.0,401772725,6752.0,7,7,160.0,-192.0,3.5,-115.0,-105.0,49.5,-115.0,-105.0,0,outdoors,fieldturf,85.0,3.0,00-0036971,00-0036442,Trevor Lawrence,Joe Burrow,Liam Coen,Zac Taylor,Alan Eck,CIN00,Paycor Stadium,1,1,58.0,1,0,0,0,0,0.6575342465753424,0.38461538461538464,1585.8933726614257,1409.7134840792633,176.17988858216245,0.784228960161026,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-5.331304347826077,2.756086956521739,-5.924838709677424,2.7425,0.286,0.13,0.03,0.103,,,,,,,-0.5098933646976943,4.3112686104018465,3.301063542347181,3.1322273143153425,0.5935343618513471,0.256,,-4.821161975099541,0.1688362280318385,0.784228960161026,0.50198716,0.6136686257366393,0.6031081030474954,4.0793767,3.5,0.7283611471894055,0.2716388528105945,52.54474,49.5,0.595702264693545,0.40429773530645496,1,1,0.6575342465753424,1,1,1
2025_02_LAC_LV,2025,REG,2,2025-09-15,Monday,22:00,LAC,20.0,LV,9.0,Home,-11.0,29.0,0.0,2025091501,59874.0,,202509150rai,28449.0,401772811,6764.0,10,8,-198.0,164.0,-3.5,-105.0,-115.0,46.5,-102.0,-118.0,1,dome,grass,70.0,0.0,00-0036355,00-0030565,Justin Herbert,Geno Smith,Jim Harbaugh,Pete Carroll,Clay Martin,VEG00,Allegiant Stadium,0,0,29.0,0,-2,1,0,0,0.3787878787878788,0.6644295302013423,1422.9224104177679,1578.5926120279967,-155.6702016102288,0.3498270527190581,0,1,0,1,1,0,0,0,0,0,0,0,0,1,8.957941176470584,2.785939393939394,3.173823529411777,2.879205882352941,0.205,0.091,0.073,0.0,,,,,,,-1.0833696705056854,,2.8575048015830635,3.339231933144271,5.784117647058807,0.132,,,-0.4817271315612075,0.3498270527190581,0.31086746,0.3424828652905449,0.3313055430730316,-4.5559983,-3.5,0.2591108971059433,0.7408891028940567,47.068695,46.5,0.5180440598142664,0.4819559401857336,0,0,0.3787878787878788,0,0,1
