,slope,r_squared,p_value,pct_change_1999_2024
passing_passingYardsAfterCatch,89.17496794871796,0.760696384002088,6.441410689398835e-09,3605.348587036133
receiving_receivingYardsAfterCatch,89.17074890136718,0.7606773859443152,6.44762268075484e-09,3568.932342529297
kicking_fieldGoalAttempts60_99,0.012419010201268267,0.66652216178836,3.6659940590701757e-07,1353.1250000000002
kicking_fieldGoalsMade50,0.15986972704714641,0.8189193832377817,2.1954859801043133e-10,372.26562500000006
kicking_fieldGoalsMade50_59,0.15470947063689,0.8168612260129722,2.517257650117836e-10,362.578125
kicking_fieldGoalAttempts50,0.21009925558312656,0.8465294336727858,2.970370338712294e-11,255.63322368421052
kicking_fieldGoalAttempts50_59,0.1976802453818583,0.8475800887562063,2.7337845044234194e-11,240.99999999999997
road_OTLosses,-0.00037531017369727044,0.0012437523434979886,0.8641960661354788,222.91666666666669
kicking_extraPointsBlocked,0.006808657292528261,0.15890410673352784,0.043681491007499275,190.625
kicking_extraPointsBlockedPct,0.01711943171607825,0.13283970298339579,0.06716047113888357,154.54945745448148
miscellaneous_fourthDownConvs,0.2771040094815768,0.6111045443817178,2.410790335107434e-06,122.26927280426025
passing_twoPtPass,0.031988902674386546,0.4898849711913771,6.890666150497872e-05,110.84558823529413
scoring_twoPointPassConvs,0.031988902674386546,0.4898849711913771,6.890666150497872e-05,110.84558823529413
scoring_totalTwoPointConvs,0.045993245106148335,0.46885983385159147,0.00011402060833423579,97.33796296296296
kicking_fieldGoalAttempts1_19,-0.018680727874276267,0.5596270577207518,1.1139764634912134e-05,-90.77380952380952
kicking_fieldGoalsMade1_19,-0.018246140060656193,0.536195737832489,2.114400952589384e-05,-90.77380952380952
scoring_twoPointRushConvs,0.014004342431761787,0.30264932149621576,0.003594105798533594,74.375
rushing_twoPtRush,0.014004342431761787,0.30264932149621576,0.003594105798533594,74.375
passing_twoPtPassAttempts,0.06745967741935482,0.4735250611789238,0.00010212971444203454,71.26116071428572
miscellaneous_turnOverDifferential,-0.006862420733388475,0.020859219438400994,0.48148103091381944,63.4765625
punting_puntsInside20Pct,0.5812077753756133,0.9178964327162202,1.5731741893823703e-14,63.03339831215426
returning_puntReturnTouchdowns,-0.012467948412283873,0.43926803820509736,0.0002247457628704924,-54.79166507720947
returning_kickReturnTouchdowns,-0.012543768678974903,0.34843472693949673,0.0015015009776611788,-54.79166507720947
defensive_assistTackles,2.30223398061899,0.2831118371563679,0.005144283801696074,54.227662086486816
returning_puntReturnFairCatchPct,0.5108649220515296,0.8254610728267475,1.4067042271073823e-10,52.88265417008283
general_defensiveFumblesTouchdowns,-0.003859939343810312,0.02607952150065691,0.43061223418921313,-51.5625
punting_puntsBlockedPct,0.002050859207036939,0.00681303688113795,0.68851971609762,51.42390070563897
scoring_rushingTouchdowns,0.16449579124776725,0.49473346060160667,6.118387206727937e-05,51.38569474220276
rushing_rushingTouchdowns,0.16449579124776725,0.49473346060160667,6.118387206727937e-05,51.38569474220276
kicking_fieldGoalsMadeYards,14.799620142227566,0.863149199344937,7.440886624227145e-12,49.329304695129395
defensive_defensiveTouchdowns,-0.023145505927763987,0.2579424571359251,0.008078429132150995,-47.9296875
defensiveInterceptions_interceptionTouchdowns,-0.019285566583953688,0.29542502576912416,0.004107368546997832,-45.74999999999999
rushing_twoPtRushAttempts,0.02397539288668321,0.2832728208074065,0.00512926402969129,45.31250000000001
total_OTLosses,-0.003224083264405845,0.03632688311967954,0.35100314206931293,40.9090909090909
total_OTWins,-0.003224083264405845,0.03632688311967954,0.35100314206931293,40.9090909090909
defensiveInterceptions_interceptionYards,-3.1573246517344415,0.7028702514129422,8.962158268000803e-08,-40.08301496505737
rushing_rushingFirstDowns,0.9903515729333601,0.5586118165694688,1.1461021131604229e-05,39.786821603775024
miscellaneous_firstDownsRushing,0.9903515729333601,0.5586118165694688,1.1461021131604229e-05,39.786821603775024
returning_kickReturnYards,-36.06687070145567,0.8027494066646373,6.183332308665934e-10,-38.67543637752533
kicking_kickoffReturnYards,-36.06687070145567,0.8027494066646373,6.183332308665934e-10,-38.67543637752533
returning_kickReturnFairCatchPct,0.01930596988756578,0.049951890688682096,0.27240741100697086,-37.95278351301042
kicking_fieldGoalAttemptYards,14.176622032752405,0.7758112273136026,2.918034703364422e-09,37.697744369506836
receiving_receivingYardsAtCatch,-46.4837780448718,0.4473471541054145,0.0001873563332340937,-36.53201162815094
scoring_totalTouchdowns,0.7803574103983041,0.798873009594683,7.827108435162743e-10,35.246336460113525
passing_QBRating,0.8865735433930549,0.9239493267721788,6.256903541346708e-15,34.96492917935905
passing_quarterbackRating,0.8865735433930549,0.9239493267721788,6.256903541346708e-15,34.96492917935905
punting_touchbacks,-0.11579060057289578,0.7230537378153307,3.80432734569045e-08,-34.278637170791626
defensive_safeties,0.0019051561090681294,0.01071068025466721,0.6148862308474005,-33.94886255264282
scoring_fieldGoals,0.2983178246484699,0.8430033402314299,3.9085961935568905e-11,33.29203377386196
kicking_fieldGoalsMade,0.2983178246484699,0.8430033402314299,3.9085961935568905e-11,33.29203377386196
passing_passingTouchdowns,0.3204366550282536,0.7752605301514562,3.006186988654349e-09,33.05920958518982
scoring_receivingTouchdowns,0.3204366550282536,0.7752605301514562,3.006186988654349e-09,33.05920958518982
receiving_receivingTouchdowns,0.3204366550282536,0.7752605301514562,3.006186988654349e-09,33.05920958518982
scoring_passingTouchdowns,0.3204366550282536,0.7752605301514562,3.006186988654349e-09,33.05920958518982
rushing_rushingYards,13.567013638488248,0.587163082599043,5.02556096147033e-06,32.91812539100647
rushing_rushingBigPlays,0.0819844223876482,0.42927980665121396,0.0002805254622574681,31.969339622641503
scoring_totalPoints,5.789605734767024,0.8573329920073216,1.2299280538984745e-11,31.316395184135974
receiving_receptions,4.359094092214209,0.9202632553358361,1.1061687768047422e-14,30.980053544044495
passing_completions,4.359094092214209,0.9202632553358361,1.1061687768047422e-14,30.980053544044495
kicking_totalKickingPoints,1.1543479459608494,0.9068416169309128,7.202922394486661e-14,30.735492577597846
passing_passingTouchdownPct,0.04008165817379876,0.7145748478956849,5.492160673520704e-08,30.421048424576043
