feature,category,correlation,abs_correlation,p_value,significant,n_valid
total_wins,base,1.0,1.0,0.0,True,13564
total_winPercentage,base,1.0,1.0,0.0,True,13564
total_winPercent,base,1.0,1.0,0.0,True,13564
total_leagueWinPercent,base,1.0,1.0,0.0,True,13564
diff_total_winPercent,differential,0.999035059279939,0.999035059279939,0.0,True,12418
opp_total_winPercent,opponent,-0.9961420993409418,0.9961420993409418,0.0,True,12418
total_losses,base,-0.9958799293702179,0.9958799293702179,0.0,True,13564
opp_total_differential,opponent,-0.7817268807409824,0.7817268807409824,0.0,True,12418
diff_total_differential,differential,0.7817268807409824,0.7817268807409824,0.0,True,12418
diff_total_pointsAgainst,differential,-0.7817268807409824,0.7817268807409824,0.0,True,12418
diff_total_pointsFor,differential,0.7817268807409824,0.7817268807409824,0.0,True,12418
total_pointDifferential,base,0.7811758140028108,0.7811758140028108,0.0,True,13564
total_differential,base,0.7811758140028108,0.7811758140028108,0.0,True,13564
home_winPercent,base,0.6258215230341487,0.6258215230341487,0.0,True,13564
home_winPercentage,base,0.6258215230341487,0.6258215230341487,0.0,True,13564
home_wins,base,0.6258215230341487,0.6258215230341487,0.0,True,13564
road_losses,base,-0.6232430941576098,0.6232430941576098,0.0,True,13564
away_losses,base,-0.6232430941576098,0.6232430941576098,0.0,True,13564
opp_total_pointsFor,opponent,-0.5662357929028391,0.5662357929028391,0.0,True,12418
opp_total_pointsAgainst,opponent,0.5658788639664303,0.5658788639664303,0.0,True,12418
defensive_pointsAllowed,base,-0.564439260444614,0.564439260444614,0.0,True,13564
total_avgPointsAgainst,base,-0.564439260444614,0.564439260444614,0.0,True,13564
passing_totalPoints,base,0.5640227610929172,0.5640227610929172,0.0,True,13564
rushing_totalPoints,base,0.5640227610929172,0.5640227610929172,0.0,True,13564
receiving_totalPointsPerGame,base,0.5640227610929172,0.5640227610929172,0.0,True,13564
passing_totalPointsPerGame,base,0.5640227610929172,0.5640227610929172,0.0,True,13564
receiving_totalPoints,base,0.5640227610929172,0.5640227610929172,0.0,True,13564
total_avgPointsFor,base,0.5640227610929172,0.5640227610929172,0.0,True,13564
total_points,base,0.5640227610929172,0.5640227610929172,0.0,True,13564
rushing_totalPointsPerGame,base,0.5640227610929172,0.5640227610929172,0.0,True,13564
away_winPercentage,base,0.5296575133146532,0.5296575133146532,0.0,True,13564
away_winPercent,base,0.5296575133146532,0.5296575133146532,0.0,True,13564
away_wins,base,0.5296575133146532,0.5296575133146532,0.0,True,13564
road_winPercent,base,0.5296575133146532,0.5296575133146532,0.0,True,13564
road_wins,base,0.5296575133146532,0.5296575133146532,0.0,True,13564
home_losses,base,-0.5274752869502021,0.5274752869502021,0.0,True,13564
miscellaneous_turnOverDifferential,base,0.502122536926842,0.502122536926842,0.0,True,13564
general_turnoverDifferential,base,0.502122536926842,0.502122536926842,0.0,True,13564
kicking_extraPointAttempts,base,0.4428290686956915,0.4428290686956915,0.0,True,13564
scoring_kickExtraPoints,base,0.4428290686956915,0.4428290686956915,0.0,True,13564
kicking_extraPointsMade,base,0.43823216323981645,0.43823216323981645,0.0,True,13564
scoring_kickExtraPointsMade,base,0.43823216323981645,0.43823216323981645,0.0,True,13564
scoring_totalPoints,base,0.42761565375661736,0.42761565375661736,0.0,True,13564
scoring_totalPointsPerGame,base,0.42761565375661736,0.42761565375661736,0.0,True,13564
returning_kickReturns,base,-0.4249917554939689,0.4249917554939689,0.0,True,13564
kicking_kickoffs,base,-0.4020646431218889,0.4020646431218889,0.0,True,13564
kicking_kickoffReturns,base,-0.4020646431218889,0.4020646431218889,0.0,True,13564
kicking_totalKickingPoints,base,0.39306451335033094,0.39306451335033094,0.0,True,13564
passing_quarterbackRating,base,0.3923705009662477,0.3923705009662477,0.0,True,13564
passing_QBRating,base,0.3923705009662477,0.3923705009662477,0.0,True,13564
miscellaneous_totalTakeaways,base,0.37356306682470825,0.37356306682470825,0.0,True,13564
rushing_brokenTackles,base,0.3673681179656012,0.3673681179656012,0.0,True,13564
passing_netYardsPerPassAttempt,base,0.3438213722170038,0.3438213722170038,0.0,True,13564
passing_passingTouchdownPct,base,0.34021333962995853,0.34021333962995853,0.0,True,13564
passing_yardsPerPassAttempt,base,0.33256060887891103,0.33256060887891103,0.0,True,13564
rushing_yardsPerGame,base,0.32812833854055784,0.32812833854055784,0.0,True,13564
rushing_rushingYardsPerGame,base,0.32812833854055784,0.32812833854055784,0.0,True,13564
defensive_passesBattedDown,base,0.32058320044898403,0.32058320044898403,9.1e-322,True,13564
defensive_passesDefended,base,0.32058320044898403,0.32058320044898403,9.1e-322,True,13564
passing_avgGain,base,0.3149025481397511,0.3149025481397511,6.1841748984484e-310,True,13564
home_pointsFor,base,0.3090649544889509,0.3090649544889509,4.820464986529831e-298,True,13564
away_pointsAgainst,base,-0.30905145427873804,0.30905145427873804,5.13189543935904e-298,True,13564
defensive_rushingYardsAllowedPerGame,base,-0.30460016559212383,0.30460016559212383,3.9525971331930587e-289,True,13564
receiving_yardsPerTarget,base,0.29018159919103664,0.29018159919103664,2.1166508944351697e-261,True,13564
diff_total_differential_roll5,rolling,0.26294045192394083,0.26294045192394083,7.367673791766208e-195,True,12380
