feature,correlation,abs_correlation,p_value,significant
total_winPercent,1.0,1.0,0.0,True
total_leagueWinPercent,1.0,1.0,0.0,True
total_wins,0.9999999999999997,0.9999999999999997,0.0,True
total_losses,-0.9958799293702176,0.9958799293702176,0.0,True
total_differential,0.781175814002811,0.781175814002811,0.0,True
total_pointDifferential,0.781175814002811,0.781175814002811,0.0,True
home_wins,0.6258215230341486,0.6258215230341486,0.0,True
home_winPercent,0.6258215230341486,0.6258215230341486,0.0,True
road_losses,-0.6232430941576098,0.6232430941576098,0.0,True
total_pointsAgainst,-0.5644392604446141,0.5644392604446141,0.0,True
total_avgPointsAgainst,-0.5644392604446141,0.5644392604446141,0.0,True
rushing_totalPoints,0.5640227610929172,0.5640227610929172,0.0,True
total_avgPointsFor,0.5640227610929172,0.5640227610929172,0.0,True
receiving_totalPointsPerGame,0.5640227610929172,0.5640227610929172,0.0,True
receiving_totalPoints,0.5640227610929172,0.5640227610929172,0.0,True
rushing_totalPointsPerGame,0.5640227610929172,0.5640227610929172,0.0,True
passing_totalPoints,0.5640227610929172,0.5640227610929172,0.0,True
total_pointsFor,0.5640227610929172,0.5640227610929172,0.0,True
passing_totalPointsPerGame,0.5640227610929172,0.5640227610929172,0.0,True
road_wins,0.5296575133146533,0.5296575133146533,0.0,True
road_winPercent,0.5296575133146532,0.5296575133146532,0.0,True
home_losses,-0.527475286950202,0.527475286950202,0.0,True
miscellaneous_turnOverDifferential,0.5021225369268418,0.5021225369268418,0.0,True
kicking_extraPointAttempts,0.44282906869569144,0.44282906869569144,0.0,True
scoring_kickExtraPoints,0.44282906869569144,0.44282906869569144,0.0,True
kicking_extraPointsMade,0.43823216323981645,0.43823216323981645,0.0,True
scoring_kickExtraPointsMade,0.43823216323981645,0.43823216323981645,0.0,True
scoring_totalPointsPerGame,0.4276156537566175,0.4276156537566175,0.0,True
scoring_totalPoints,0.4276156537566175,0.4276156537566175,0.0,True
kicking_totalKickingPoints,0.3930645133503309,0.3930645133503309,0.0,True
passing_quarterbackRating,0.39237050096624765,0.39237050096624765,0.0,True
passing_QBRating,0.39237050096624765,0.39237050096624765,0.0,True
rushing_rushingAttempts,0.3753915998598817,0.3753915998598817,0.0,True
miscellaneous_totalTakeaways,0.37356306682470836,0.37356306682470836,0.0,True
scoring_totalTouchdowns,0.35304209482041027,0.35304209482041027,0.0,True
passing_netYardsPerPassAttempt,0.343821372217004,0.343821372217004,0.0,True
miscellaneous_totalGiveaways,-0.3434136244969568,0.3434136244969568,0.0,True
passing_passingTouchdownPct,0.3402133396299585,0.3402133396299585,0.0,True
defensiveInterceptions_interceptions,0.33703302412920527,0.33703302412920527,0.0,True
passing_yardsPerPassAttempt,0.3325606088789111,0.3325606088789111,0.0,True
rushing_rushingYards,0.3281283385405579,0.3281283385405579,0.0,True
rushing_rushingYardsPerGame,0.3281283385405579,0.3281283385405579,0.0,True
passing_interceptions,-0.32293599436005216,0.32293599436005216,0.0,True
defensive_passesDefended,0.32058320044898386,0.32058320044898386,9.1e-322,True
passing_avgGain,0.31490254813975105,0.31490254813975105,6.18417489846023e-310,True
miscellaneous_firstDownsRushing,0.30552879807205613,0.30552879807205613,5.698716657926228e-291,True
rushing_rushingFirstDowns,0.30552879807205613,0.30552879807205613,5.698716657926228e-291,True
rushing_rushingTouchdowns,0.3008148144696385,0.3008148144696385,1.0767375354091937e-281,True
scoring_rushingTouchdowns,0.3008148144696385,0.3008148144696385,1.0767375354091937e-281,True
defensive_sackYards,0.2896006753836381,0.2896006753836381,2.566892610332984e-260,True
defensive_sacks,0.28954041392610136,0.28954041392610136,3.324170058363575e-260,True
passing_sackYardsLost,-0.27354127346784773,0.27354127346784773,2.30721878297981e-231,True
passing_sacks,-0.27342156886684577,0.27342156886684577,3.7297793512873864e-231,True
receiving_totalYardsFromScrimmage,0.2586613917721191,0.2586613917721191,3.0733122585293893e-206,True
receiving_netYardsPerGame,0.2586613917721191,0.2586613917721191,3.0733122585293893e-206,True
rushing_netYardsPerGame,0.2586613917721191,0.2586613917721191,3.0733122585293893e-206,True
passing_netYardsPerGame,0.2586613917721191,0.2586613917721191,3.0733122585293893e-206,True
receiving_netTotalYards,0.2586613917721191,0.2586613917721191,3.0733122585293893e-206,True
rushing_netTotalYards,0.2586613917721191,0.2586613917721191,3.0733122585293893e-206,True
passing_netTotalYards,0.2586613917721191,0.2586613917721191,3.0733122585293893e-206,True
passing_totalYards,0.2586613917721191,0.2586613917721191,3.0733122585293893e-206,True
passing_totalYardsFromScrimmage,0.2586613917721191,0.2586613917721191,3.0733122585293893e-206,True
receiving_totalYards,0.2586613917721191,0.2586613917721191,3.0733122585293893e-206,True
rushing_yardsFromScrimmagePerGame,0.2586613917721191,0.2586613917721191,3.0733122585293893e-206,True
receiving_yardsFromScrimmagePerGame,0.2586613917721191,0.2586613917721191,3.0733122585293893e-206,True
passing_yardsFromScrimmagePerGame,0.2586613917721191,0.2586613917721191,3.0733122585293893e-206,True
rushing_totalYardsFromScrimmage,0.2586613917721191,0.2586613917721191,3.0733122585293893e-206,True
rushing_totalYards,0.2586613917721191,0.2586613917721191,3.0733122585293893e-206,True
