,count,mean,std,min,25%,50%,75%,max,skewness,kurtosis,missing_pct
total_pointsAgainst,829.0,360.74547647768395,58.14365949557344,168.0,322.0,359.0,400.0,534.0,-0.0679062910043249,-0.022074210318481224,0.0
receiving_receivingYardsAfterCatch,829.0,1249.779296875,879.06103515625,-1.0,0.0,1588.0,1923.0,2827.0,-0.498496413230896,-1.3333741426467896,0.0
returning_kickReturnYards,829.0,1010.1073608398438,492.2001953125,0.0,652.0,1024.0,1413.0,2258.0,-0.21578097343444824,-0.5805200338363647,0.0
returning_kickReturnFairCatches,829.0,0.22798553109169006,1.0413613319396973,0.0,0.0,0.0,0.0,18.0,10.925294876098633,152.994140625,0.0
miscellaneous_firstDowns,829.0,292.6212158203125,87.95475006103516,0.0,279.0,309.0,340.0,450.0,-2.340456485748291,5.530708312988281,0.0
receiving_totalOffensivePlays,829.0,955.7659831121833,263.3417275325187,0.0,974.0,1018.0,1064.0,1193.0,-3.188495279010663,8.83930504401739,0.0
receiving_yardsFromScrimmagePerGame,829.0,299.33292237280915,90.01009837797494,0.0,286.125,315.70588235294116,347.75,471.8235294117647,-2.338671646323697,5.517481536969836,0.0
miscellaneous_thirdDownAttempts,829.0,221.0820265379976,61.639696630654356,0.0,222.0,236.0,248.0,286.0,-3.0589639595410794,8.307820747218923,0.0
kicking_longFieldGoalMade,829.0,49.42219541616405,13.768629523029617,0.0,50.0,53.0,55.0,66.0,-3.066238687408056,8.347609124565267,0.0
miscellaneous_firstDownsRushing,829.0,97.27623748779297,33.751182556152344,0.0,85.0,100.0,117.0,193.0,-1.2383252382278442,2.4478869438171387,0.0
rushing_totalYardsFromScrimmage,829.0,4908.21728515625,1494.5986328125,0.0,4659.0,5205.0,5751.0,8021.0,-2.237143039703369,5.132458209991455,0.0
passing_passingFirstDowns,829.0,176.31362915039062,56.75381851196289,0.0,161.0,184.0,209.0,303.0,-1.778377652168274,3.7583141326904297,0.0
rushing_twoPtRushAttempts,829.0,0.7237635705669482,1.0630724417918944,0.0,0.0,0.0,1.0,9.0,2.345851014642196,8.619125452546989,0.0
passing_passingYardsPerGame,829.0,192.0527034698077,64.1784781736172,0.0,172.625,200.35294117647058,230.1875,335.52941176470586,-1.5314233244163864,2.9831051106454356,0.0
total_OTWins,829.0,0.4764776839565742,0.6852406351524949,0.0,0.0,0.0,1.0,4.0,1.473331755428377,2.3651784809726046,0.0
