game_id,season,week,gameday,weekday,home_team,away_team,predicted_winner,home_win_probability,away_win_probability,confidence,edge,expected_value,kelly_bet,fixed_stake_bet,threshold_bet,proportional_bet,confidence_category
2025_16_NYJ_NO,2025,16,2025-12-21,Sunday,NO,NYJ,NO,0.6313375293506225,0.3686624706493775,0.6313375293506225,0.10777731992653872,0.20522334353033833,500.0,200.0,0.0,78.34,Medium (60-70%)
2025_14_DEN_LV,2025,14,2025-12-07,Sunday,LV,DEN,LV,0.6312803014916737,0.3687196985083263,0.6312803014916737,0.10772009206758992,0.20511409554760507,500.0,200.0,0.0,78.2,Medium (60-70%)
2025_02_TB_HOU,2025,2,2025-09-15,Monday,HOU,TB,HOU,0.6312464767316917,0.3687535232683083,0.6312464767316917,0.10768626730760789,0.20504952408079935,500.0,200.0,0.0,78.12,Medium (60-70%)
2025_06_SEA_JAX,2025,6,2025-10-12,Sunday,JAX,SEA,JAX,0.6311947344478483,0.3688052655521516,0.6311947344478483,0.10763452502376458,0.2049507480609425,500.0,200.0,0.0,77.99,Medium (60-70%)
2025_09_JAX_LV,2025,9,2025-11-02,Sunday,LV,JAX,LV,0.6310403769430408,0.3689596230569592,0.6310403769430408,0.10748016751895706,0.2046560795842649,500.0,200.0,0.0,77.6,Medium (60-70%)
2025_11_SF_ARI,2025,11,2025-11-16,Sunday,ARI,SF,ARI,0.6309017167957776,0.3690982832042224,0.6309017167957776,0.10734150737169379,0.2043913773631394,500.0,200.0,0.0,77.25,Medium (60-70%)
2025_01_CIN_CLE,2025,1,2025-09-07,Sunday,CLE,CIN,CLE,0.6308746983516356,0.3691253016483644,0.6308746983516356,0.1073144889275518,0.20433979915327227,500.0,200.0,0.0,77.19,Medium (60-70%)
2025_13_SF_CLE,2025,13,2025-11-30,Sunday,CLE,SF,CLE,0.6306746019153944,0.3693253980846056,0.6306746019153944,0.1071143924913106,0.2039578150564879,500.0,200.0,0.0,76.69,Medium (60-70%)
2025_15_GB_DEN,2025,15,2025-12-14,Sunday,DEN,GB,DEN,0.6306147601097996,0.3693852398902004,0.6306147601097996,0.10705455068571579,0.20384357704960732,500.0,200.0,0.0,76.54,Medium (60-70%)
2025_05_MIN_CLE,2025,5,2025-10-05,Sunday,CLE,MIN,CLE,0.6306147548253319,0.3693852451746681,0.6306147548253319,0.10705454540124815,0.2038435669615586,500.0,200.0,0.0,76.54,Medium (60-70%)
2025_10_LA_SF,2025,10,2025-11-09,Sunday,SF,LA,SF,0.6304493072767783,0.3695506927232217,0.6304493072767783,0.10688909785269451,0.20352772759136972,500.0,200.0,0.0,76.12,Medium (60-70%)
2025_03_GB_CLE,2025,3,2025-09-21,Sunday,CLE,GB,CLE,0.6304047942258577,0.3695952057741423,0.6304047942258577,0.10684458480177395,0.20344275217716234,500.0,200.0,0.0,76.01,Medium (60-70%)
2025_11_CHI_MIN,2025,11,2025-11-16,Sunday,MIN,CHI,MIN,0.6303395595290998,0.3696604404709002,0.6303395595290998,0.10677935010501605,0.20331821914105153,500.0,200.0,0.0,75.85,Medium (60-70%)
2025_09_DEN_HOU,2025,9,2025-11-02,Sunday,HOU,DEN,HOU,0.6302553472908814,0.3697446527091186,0.6302553472908814,0.10669513786679763,0.20315745797829265,500.0,200.0,0.0,75.64,Medium (60-70%)
2025_15_CAR_NO,2025,15,2025-12-14,Sunday,NO,CAR,NO,0.6301995593566388,0.3698004406433611,0.6301995593566388,0.10663934993255508,0.20305095881182356,500.0,200.0,0.0,75.5,Medium (60-70%)
2025_07_NE_TEN,2025,7,2025-10-19,Sunday,TEN,NE,TEN,0.6301653560256726,0.3698346439743274,0.6301653560256726,0.10660514660158882,0.20298566465300893,500.0,200.0,0.0,75.41,Medium (60-70%)
2025_11_BAL_CLE,2025,11,2025-11-16,Sunday,CLE,BAL,CLE,0.6301579917439186,0.3698420082560814,0.6301579917439186,0.10659778231983486,0.20297160623914068,500.0,200.0,0.0,75.39,Medium (60-70%)
2025_11_HOU_TEN,2025,11,2025-11-16,Sunday,TEN,HOU,TEN,0.630088670210116,0.3699113297898839,0.630088670210116,0.10652846078603229,0.20283927143111158,500.0,200.0,0.0,75.22,Medium (60-70%)
2025_08_SF_HOU,2025,8,2025-10-26,Sunday,HOU,SF,HOU,0.6298774143482583,0.3701225856517417,0.6298774143482583,0.10631720492417451,0.20243598399082507,500.0,200.0,0.0,74.69,Medium (60-70%)
2025_01_ARI_NO,2025,1,2025-09-07,Sunday,NO,ARI,NO,0.6298772604157072,0.3701227395842927,0.6298772604157072,0.10631705099162347,0.2024356901335851,500.0,200.0,0.0,74.69,Medium (60-70%)
2025_04_CHI_LV,2025,4,2025-09-28,Sunday,LV,CHI,LV,0.629794176074442,0.370205823925558,0.629794176074442,0.10623396665035822,0.20227708212610973,500.0,200.0,0.0,74.49,Medium (60-70%)
2025_06_NE_NO,2025,6,2025-10-12,Sunday,NO,NE,NO,0.629487548751102,0.370512451248898,0.629487548751102,0.10592733932701826,0.20169173056585377,500.0,200.0,0.0,73.72,Medium (60-70%)
2025_01_MIN_CHI,2025,1,2025-09-08,Monday,CHI,MIN,CHI,0.6293894581892263,0.3706105418107737,0.6293894581892263,0.10582924876514255,0.20150447568323304,500.0,200.0,0.0,73.47,Medium (60-70%)
2025_16_BUF_CLE,2025,16,2025-12-21,Sunday,CLE,BUF,CLE,0.6293736909253586,0.3706263090746414,0.6293736909253586,0.10581348150127479,0.20147437597650952,500.0,200.0,0.0,73.43,Medium (60-70%)
2025_05_KC_JAX,2025,5,2025-10-06,Monday,JAX,KC,JAX,0.6293334419102564,0.3706665580897436,0.6293334419102564,0.10577323248617265,0.20139754060667947,500.0,200.0,0.0,73.33,Medium (60-70%)
2025_03_DAL_CHI,2025,3,2025-09-21,Sunday,CHI,DAL,CHI,0.6292674216940557,0.3707325783059443,0.6292674216940557,0.10570721226997193,0.20127150801395233,500.0,200.0,0.0,73.17,Medium (60-70%)
2025_05_NYG_NO,2025,5,2025-10-05,Sunday,NO,NYG,NO,0.629182990812597,0.370817009187403,0.629182990812597,0.10562278138851322,0.20111032946124763,500.0,200.0,0.0,72.96,Medium (60-70%)
2025_11_DAL_LV,2025,11,2025-11-17,Monday,LV,DAL,LV,0.6291764752529896,0.3708235247470104,0.6291764752529896,0.10561626582890582,0.20109789125795718,500.0,200.0,0.0,72.94,Medium (60-70%)
2025_12_SEA_TEN,2025,12,2025-11-23,Sunday,TEN,SEA,TEN,0.6291598967855649,0.370840103214435,0.6291598967855649,0.10559968736148118,0.2010662429636435,500.0,200.0,0.0,72.9,Medium (60-70%)
2025_16_ATL_ARI,2025,16,2025-12-21,Sunday,ARI,ATL,ARI,0.629137885513471,0.3708621144865289,0.629137885513471,0.10557767608938728,0.2010242234452163,500.0,200.0,0.0,72.84,Medium (60-70%)
2025_08_TB_NO,2025,8,2025-10-26,Sunday,NO,TB,NO,0.6291230536195866,0.3708769463804133,0.6291230536195866,0.10556284419550288,0.20099590935979095,500.0,200.0,0.0,72.81,Medium (60-70%)
2025_13_JAX_TEN,2025,13,2025-11-30,Sunday,TEN,JAX,TEN,0.6290406067615327,0.3709593932384672,0.6290406067615327,0.10548039733744896,0.200838518307766,500.0,200.0,0.0,72.6,Medium (60-70%)
2025_12_ATL_NO,2025,12,2025-11-23,Sunday,NO,ATL,NO,0.6288995680496823,0.3711004319503177,0.6288995680496823,0.10533935862559851,0.20056927540684344,500.0,200.0,0.0,72.25,Medium (60-70%)
2025_07_MIA_CLE,2025,7,2025-10-19,Sunday,CLE,MIA,CLE,0.6288812308638121,0.3711187691361879,0.6288812308638121,0.10532102143972832,0.20053426971901733,500.0,200.0,0.0,72.2,Medium (60-70%)
2025_12_JAX_ARI,2025,12,2025-11-23,Sunday,ARI,JAX,ARI,0.6288294728909671,0.3711705271090328,0.6288294728909671,0.10526926346688337,0.20043546374885624,500.0,200.0,0.0,72.07,Medium (60-70%)
2025_01_CAR_JAX,2025,1,2025-09-07,Sunday,JAX,CAR,JAX,0.6285286490908428,0.3714713509091571,0.6285286490908428,0.10496843966675906,0.19986119111441902,500.0,200.0,0.0,71.32,Medium (60-70%)
2025_02_LAC_LV,2025,2,2025-09-15,Monday,LV,LAC,LV,0.6284492173929739,0.3715507826070261,0.6284492173929739,0.10488900796889011,0.19970955600318718,500.0,200.0,0.0,71.12,Medium (60-70%)
2025_09_LAC_TEN,2025,9,2025-11-02,Sunday,TEN,LAC,TEN,0.6269847629775299,0.3730152370224701,0.6269847629775299,0.10342455355344615,0.19691391252410462,500.0,200.0,0.0,67.46,Medium (60-70%)
