,accuracy,precision,recall,f1,roc_auc,log_loss
XGBoost,0.9044117647058824,0.9178082191780822,0.9054054054054054,0.9115646258503401,0.9742262423714037,0.21072071469298578
LightGBM,0.9007352941176471,0.9115646258503401,0.9054054054054054,0.9084745762711864,0.9742262423714037,0.21056064562169396
CatBoost,0.8970588235294118,0.910958904109589,0.8986486486486487,0.9047619047619048,0.9737903225806451,0.20787128125568527
RandomForest,0.8933823529411765,0.9047619047619048,0.8986486486486487,0.9016949152542373,0.9669790758500435,0.2516399777658361
