,home_diff_point_diff_trend,away_diff_point_diff_trend,home_diff_points_allowed_trend,away_diff_points_allowed_trend,home_diff_points_scored_trend,away_diff_points_scored_trend,home_diff_win_streak,away_diff_win_streak,home_opp_point_diff_trend,away_opp_point_diff_trend,home_opp_points_allowed_trend,away_opp_points_allowed_trend,home_opp_points_scored_trend,away_opp_points_scored_trend,home_opp_win_streak,away_opp_win_streak,home_point_diff_trend,away_point_diff_trend,home_points_allowed_trend,away_points_allowed_trend,home_points_scored_trend,away_points_scored_trend,home_win_streak,away_win_streak,home_diff_total_differential,away_diff_total_differential,home_diff_total_differential_roll3,away_diff_total_differential_roll3,home_diff_total_differential_roll5,away_diff_total_differential_roll5,home_diff_total_pointsAgainst,away_diff_total_pointsAgainst,home_diff_total_pointsAgainst_roll3,away_diff_total_pointsAgainst_roll3,home_diff_total_pointsAgainst_roll5,away_diff_total_pointsAgainst_roll5,home_diff_total_pointsFor,away_diff_total_pointsFor,home_diff_total_pointsFor_roll3,away_diff_total_pointsFor_roll3,home_diff_total_pointsFor_roll5,away_diff_total_pointsFor_roll5,home_diff_total_winPercent,away_diff_total_winPercent,home_opp_total_differential,away_opp_total_differential,home_opp_total_differential_roll3,away_opp_total_differential_roll3,home_opp_total_differential_roll5,away_opp_total_differential_roll5,home_opp_total_pointsAgainst,away_opp_total_pointsAgainst,home_opp_total_pointsAgainst_roll3,away_opp_total_pointsAgainst_roll3,home_opp_total_pointsAgainst_roll5,away_opp_total_pointsAgainst_roll5,home_opp_total_pointsFor,away_opp_total_pointsFor,home_opp_total_pointsFor_roll3,away_opp_total_pointsFor_roll3,home_opp_total_pointsFor_roll5,away_opp_total_pointsFor_roll5,home_opp_total_winPercent,away_opp_total_winPercent,home_scored_20plus,away_scored_20plus,home_scored_30plus,away_scored_30plus,home_streak_20plus,away_streak_20plus,home_streak_30plus,away_streak_30plus,home_vsconf_OTLosses,away_vsconf_OTLosses,home_vsconf_leagueWinPercent,away_vsconf_leagueWinPercent,home_vsconf_losses,away_vsconf_losses,home_vsconf_ties,away_vsconf_ties,home_vsconf_wins,away_vsconf_wins,home_vsdiv_OTLosses,away_vsdiv_OTLosses,home_vsdiv_divisionLosses,away_vsdiv_divisionLosses,home_vsdiv_divisionTies,away_vsdiv_divisionTies,home_vsdiv_divisionWinPercent,away_vsdiv_divisionWinPercent,home_vsdiv_divisionWins,away_vsdiv_divisionWins,home_vsdiv_losses,away_vsdiv_losses,home_vsdiv_ties,away_vsdiv_ties,home_vsdiv_wins,away_vsdiv_wins,home_div_game,away_div_game,home_rest_advantage,away_rest_advantage
home_diff_point_diff_trend,1.0,-1.0,-0.6462991195794141,0.6462991195794141,0.798166223041119,-0.798166223041119,0.7019399626946644,-0.7019399626946644,-0.6580546908756235,0.6909698199941305,0.18642062292771253,-0.14955099608369937,-0.20401630149665073,0.2703996458135127,-0.46574643197836135,0.49273147896206776,0.6909698199941305,-0.6580546908756235,-0.14955099608369937,0.18642062292771253,0.2703996458135127,-0.20401630149665073,0.49273147896206776,-0.46574643197836135,0.8374162666789723,-0.8374162666789723,1.0,-1.0,0.9671154352072513,-0.9671154352072513,-0.5852953345076696,0.5852953345076696,-0.6462991195794141,0.6462991195794141,-0.6149004862280747,0.6149004862280747,0.672081843908991,-0.672081843908991,0.798166223041119,-0.798166223041119,0.7606914493218766,-0.7606914493218766,0.5187742518352476,-0.5187742518352476,-0.5372048446190935,0.5740698960077095,-0.6580546908756233,0.6909698199941307,-0.638924266857539,0.6733409432200358,0.1676761267599218,-0.10572417794357403,0.18642062292771253,-0.14955099608369937,0.19694806439221454,-0.15484541571253602,-0.12577418959066536,0.21167654662473126,-0.20401630149665073,0.2703996458135127,-0.21762949035239504,0.28951223928806313,-0.3141709863241592,0.3402292484255658,0.022675716196869786,-0.0017068156305247262,0.024149495732726366,0.002411972838211325,0.06524132822210624,-0.03931313266067499,0.09120253375037173,-0.05863410446495745,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.012402426433226907,-0.012402426433226907,,
away_diff_point_diff_trend,-1.0,1.0,0.6462991195794141,-0.6462991195794141,-0.798166223041119,0.798166223041119,-0.7019399626946644,0.7019399626946644,0.6580546908756235,-0.6909698199941305,-0.18642062292771253,0.14955099608369937,0.20401630149665073,-0.2703996458135127,0.46574643197836135,-0.49273147896206776,-0.6909698199941305,0.6580546908756235,0.14955099608369937,-0.18642062292771253,-0.2703996458135127,0.20401630149665073,-0.49273147896206776,0.46574643197836135,-0.8374162666789723,0.8374162666789723,-1.0,1.0,-0.9671154352072513,0.9671154352072513,0.5852953345076696,-0.5852953345076696,0.6462991195794141,-0.6462991195794141,0.6149004862280747,-0.6149004862280747,-0.672081843908991,0.672081843908991,-0.798166223041119,0.798166223041119,-0.7606914493218766,0.7606914493218766,-0.5187742518352476,0.5187742518352476,0.5372048446190935,-0.5740698960077095,0.6580546908756233,-0.6909698199941307,0.638924266857539,-0.6733409432200358,-0.1676761267599218,0.10572417794357403,-0.18642062292771253,0.14955099608369937,-0.19694806439221454,0.15484541571253602,0.12577418959066536,-0.21167654662473126,0.20401630149665073,-0.2703996458135127,0.21762949035239504,-0.28951223928806313,0.3141709863241592,-0.3402292484255658,-0.022675716196869786,0.0017068156305247262,-0.024149495732726366,-0.002411972838211325,-0.06524132822210624,0.03931313266067499,-0.09120253375037173,0.05863410446495745,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012402426433226907,0.012402426433226907,,
home_diff_points_allowed_trend,-0.6462991195794141,0.6462991195794141,1.0,-1.0,-0.05614377384722572,0.05614377384722572,-0.47819918699937325,0.47819918699937325,0.4283355918255885,-0.4436606235379921,-0.2773830683405792,0.24256060052523387,-0.009862155946469333,-0.042880419933992255,0.3159936225772666,-0.3369709353914349,-0.4436606235379921,0.4283355918255885,0.24256060052523387,-0.2773830683405792,-0.042880419933992255,-0.009862155946469333,-0.3369709353914349,0.3159936225772666,-0.5975288052040056,0.5975288052040056,-0.6462991195794142,0.6462991195794142,-0.6156070821861929,0.6156070821861929,0.8361816311949841,-0.8361816311949841,1.0,-1.0,0.9285635701111671,-0.9285635701111671,-0.12273303626275835,0.12273303626275835,-0.05614377384722572,0.05614377384722572,-0.07601120886860643,0.07601120886860643,-0.3704449146329041,0.3704449146329041,0.3899944756448768,-0.40321314192336055,0.42833559182558845,-0.44366062353799224,0.4084102484804249,-0.4269674108951387,-0.2083331143174473,0.18240340474664765,-0.2773830683405792,0.24256060052523387,-0.2808422111514951,0.25057173417564765,0.0108332539925236,-0.050558680097943384,-0.009862155946469333,-0.042880419933992255,-0.0004569639339880106,-0.05065641393934748,0.23463899529997226,-0.23272901384573916,-0.0009306471796228316,0.014687136442988306,-0.0058390846970447375,0.012278624845652826,0.0036102041043212904,-0.01665949182819457,-0.014703666293204602,-0.007016207463243456,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00457113194993154,0.00457113194993154,,
away_diff_points_allowed_trend,0.6462991195794141,-0.6462991195794141,-1.0,1.0,0.05614377384722572,-0.05614377384722572,0.47819918699937325,-0.47819918699937325,-0.4283355918255885,0.4436606235379921,0.2773830683405792,-0.24256060052523387,0.009862155946469333,0.042880419933992255,-0.3159936225772666,0.3369709353914349,0.4436606235379921,-0.4283355918255885,-0.24256060052523387,0.2773830683405792,0.042880419933992255,0.009862155946469333,0.3369709353914349,-0.3159936225772666,0.5975288052040056,-0.5975288052040056,0.6462991195794142,-0.6462991195794142,0.6156070821861929,-0.6156070821861929,-0.8361816311949841,0.8361816311949841,-1.0,1.0,-0.9285635701111671,0.9285635701111671,0.12273303626275835,-0.12273303626275835,0.05614377384722572,-0.05614377384722572,0.07601120886860643,-0.07601120886860643,0.3704449146329041,-0.3704449146329041,-0.3899944756448768,0.40321314192336055,-0.42833559182558845,0.44366062353799224,-0.4084102484804249,0.4269674108951387,0.2083331143174473,-0.18240340474664765,0.2773830683405792,-0.24256060052523387,0.2808422111514951,-0.25057173417564765,-0.0108332539925236,0.050558680097943384,0.009862155946469333,0.042880419933992255,0.0004569639339880106,0.05065641393934748,-0.23463899529997226,0.23272901384573916,0.0009306471796228316,-0.014687136442988306,0.0058390846970447375,-0.012278624845652826,-0.0036102041043212904,0.01665949182819457,0.014703666293204602,0.007016207463243456,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00457113194993154,-0.00457113194993154,,
home_diff_points_scored_trend,0.798166223041119,-0.798166223041119,-0.05614377384722572,0.05614377384722572,1.0,-1.0,0.5408941592887185,-0.5408941592887185,-0.5228406298243395,0.5538081723409636,0.02492605570361213,-0.004177205288937361,-0.2747217732483212,0.31993899147053756,-0.35991503866481594,0.37866129047566366,0.5538081723409636,-0.5228406298243395,-0.004177205288937361,0.02492605570361213,0.31993899147053756,-0.2747217732483212,0.37866129047566366,-0.35991503866481594,0.6239439827002595,-0.6239439827002595,0.7981662230411187,-0.7981662230411187,0.7793705662184612,-0.7793705662184612,-0.10565696148242694,0.10565696148242694,-0.05614377384722572,0.05614377384722572,-0.07145907080882735,0.07145907080882735,0.782459960823721,-0.782459960823721,1.0,-1.0,0.93528296067931,-0.93528296067931,0.3863088378697576,-0.3863088378697576,-0.3949895810349896,0.43278814602767274,-0.5228406298243393,0.5538081723409637,-0.5135408958345964,0.5439213770370469,0.0549140141729293,0.00567328377249286,0.02492605570361213,-0.004177205288937361,0.03596929342670543,-0.004779842765886948,-0.15601090165773052,0.23704362064517565,-0.2747217732483212,0.31993899147053756,-0.28510814830277764,0.33880702591028006,-0.22582065111774827,0.26142328241660034,0.028934282767997952,0.009361949067499277,0.02698748464265468,0.012849525939303965,0.08821221439388426,-0.06458975939667767,0.10772159364659083,-0.08225625445705177,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.012618586653353003,-0.012618586653353003,,
away_diff_points_scored_trend,-0.798166223041119,0.798166223041119,0.05614377384722572,-0.05614377384722572,-1.0,1.0,-0.5408941592887185,0.5408941592887185,0.5228406298243395,-0.5538081723409636,-0.02492605570361213,0.004177205288937361,0.2747217732483212,-0.31993899147053756,0.35991503866481594,-0.37866129047566366,-0.5538081723409636,0.5228406298243395,0.004177205288937361,-0.02492605570361213,-0.31993899147053756,0.2747217732483212,-0.37866129047566366,0.35991503866481594,-0.6239439827002595,0.6239439827002595,-0.7981662230411187,0.7981662230411187,-0.7793705662184612,0.7793705662184612,0.10565696148242694,-0.10565696148242694,0.05614377384722572,-0.05614377384722572,0.07145907080882735,-0.07145907080882735,-0.782459960823721,0.782459960823721,-1.0,1.0,-0.93528296067931,0.93528296067931,-0.3863088378697576,0.3863088378697576,0.3949895810349896,-0.43278814602767274,0.5228406298243393,-0.5538081723409637,0.5135408958345964,-0.5439213770370469,-0.0549140141729293,-0.00567328377249286,-0.02492605570361213,0.004177205288937361,-0.03596929342670543,0.004779842765886948,0.15601090165773052,-0.23704362064517565,0.2747217732483212,-0.31993899147053756,0.28510814830277764,-0.33880702591028006,0.22582065111774827,-0.26142328241660034,-0.028934282767997952,-0.009361949067499277,-0.02698748464265468,-0.012849525939303965,-0.08821221439388426,0.06458975939667767,-0.10772159364659083,0.08225625445705177,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012618586653353003,0.012618586653353003,,
home_diff_win_streak,0.7019399626946644,-0.7019399626946644,-0.47819918699937325,0.47819918699937325,0.5408941592887185,-0.5408941592887185,1.0,-1.0,-0.47693958997392044,0.47130600087844765,0.13439498817364845,-0.11456325376908276,-0.14852170589602826,0.1732226702611419,-0.6821310913399945,0.6833682723194773,0.47130600087844765,-0.47693958997392044,-0.11456325376908276,0.13439498817364845,0.1732226702611419,-0.14852170589602826,0.6833682723194773,-0.6821310913399945,0.621541827454731,-0.621541827454731,0.7019399626946642,-0.7019399626946642,0.7011963252285445,-0.7011963252285445,-0.452708413886625,0.452708413886625,-0.47819918699937336,0.47819918699937336,-0.46959310160728446,0.46959310160728446,0.48323217061314633,-0.48323217061314633,0.5408941592887185,-0.5408941592887185,0.5334690222578014,-0.5334690222578014,0.4614120375764679,-0.4614120375764679,-0.41799204634076287,0.40759110192014586,-0.47693958997392033,0.47130600087844765,-0.4760328017163614,0.4766211657923066,0.12555570800597277,-0.08593024702589434,0.13439498817364845,-0.11456325376908276,0.14618922610052804,-0.12283700024988943,-0.10242652118688227,0.14043256948026941,-0.14852170589602826,0.1732226702611419,-0.16263945709999075,0.1933695653728059,-0.29258423590629007,0.2895539082903232,0.019012016943109854,0.002043926169166566,0.02172262922382004,-0.004550028435136437,0.06502400325881891,-0.06151607578828986,0.07922729689202192,-0.06982114882141192,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0032505372774394936,-0.0032505372774394936,,
away_diff_win_streak,-0.7019399626946644,0.7019399626946644,0.47819918699937325,-0.47819918699937325,-0.5408941592887185,0.5408941592887185,-1.0,1.0,0.47693958997392044,-0.47130600087844765,-0.13439498817364845,0.11456325376908276,0.14852170589602826,-0.1732226702611419,0.6821310913399945,-0.6833682723194773,-0.47130600087844765,0.47693958997392044,0.11456325376908276,-0.13439498817364845,-0.1732226702611419,0.14852170589602826,-0.6833682723194773,0.6821310913399945,-0.621541827454731,0.621541827454731,-0.7019399626946642,0.7019399626946642,-0.7011963252285445,0.7011963252285445,0.452708413886625,-0.452708413886625,0.47819918699937336,-0.47819918699937336,0.46959310160728446,-0.46959310160728446,-0.48323217061314633,0.48323217061314633,-0.5408941592887185,0.5408941592887185,-0.5334690222578014,0.5334690222578014,-0.4614120375764679,0.4614120375764679,0.41799204634076287,-0.40759110192014586,0.47693958997392033,-0.47130600087844765,0.4760328017163614,-0.4766211657923066,-0.12555570800597277,0.08593024702589434,-0.13439498817364845,0.11456325376908276,-0.14618922610052804,0.12283700024988943,0.10242652118688227,-0.14043256948026941,0.14852170589602826,-0.1732226702611419,0.16263945709999075,-0.1933695653728059,0.29258423590629007,-0.2895539082903232,-0.019012016943109854,-0.002043926169166566,-0.02172262922382004,0.004550028435136437,-0.06502400325881891,0.06151607578828986,-0.07922729689202192,0.06982114882141192,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0032505372774394936,0.0032505372774394936,,
home_opp_point_diff_trend,-0.6580546908756235,0.6580546908756235,0.4283355918255885,-0.4283355918255885,-0.5228406298243395,0.5228406298243395,-0.47693958997392044,0.47693958997392044,1.0,0.08887818219427525,-0.1534519125639533,0.06928190155454457,0.4287369283881741,0.11377516592425375,0.7153008250368588,0.06342358519872643,0.08887818219427525,1.0,0.06928190155454457,-0.1534519125639533,0.11377516592425375,0.4287369283881741,0.06342358519872643,0.7153008250368588,-0.5487335686480903,0.5487335686480903,-0.6580546908756231,0.6580546908756231,-0.6354489589200092,0.6354489589200092,0.3868704598871322,-0.3868704598871322,0.4283355918255885,-0.4283355918255885,0.4091191875316155,-0.4091191875316155,-0.43754398880509343,0.43754398880509343,-0.5228406298243395,0.5228406298243395,-0.4959430967015608,0.4959430967015608,-0.33660567294385557,0.33660567294385557,0.8428620826188463,0.09481522333741088,0.9999999999999998,0.08887818219427529,0.9688754579800654,0.08402006590747997,-0.13646291522062393,0.04413236168693514,-0.1534519125639533,0.06928190155454457,-0.1657100783790246,0.06833232031043339,0.31499138001700333,0.09084422964842029,0.4287369283881741,0.11377516592425375,0.4497690861664797,0.11261333513385513,0.4817555225217269,0.05510714098720378,-0.009359656390962562,0.008972402432815463,-0.004102201819408915,0.008481969214080239,0.04750431982195217,0.12095146356693,0.05219930405718487,0.16074527505366812,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.04545913507358825,-0.04545913507358825,,
away_opp_point_diff_trend,0.6909698199941305,-0.6909698199941305,-0.4436606235379921,0.4436606235379921,0.5538081723409636,-0.5538081723409636,0.47130600087844765,-0.47130600087844765,0.08887818219427525,1.0,0.099646420502384,-0.13194365396568325,0.1416920658914366,0.466721418258909,0.06999916014870822,0.7129482584019257,1.0,0.08887818219427525,-0.13194365396568325,0.099646420502384,0.466721418258909,0.1416920658914366,0.7129482584019257,0.06999916014870822,0.5808662198516913,-0.5808662198516913,0.6909698199941308,-0.6909698199941308,0.6691746078827452,-0.6691746078827452,-0.40278643532025793,0.40278643532025793,-0.44366062353799207,0.44366062353799207,-0.42057866006768874,0.42057866006768874,0.4689101782370657,-0.4689101782370657,0.5538081723409637,-0.5538081723409637,0.5300609178589686,-0.5300609178589686,0.36304929258306345,-0.36304929258306345,0.098334511374967,0.8501027674634938,0.08887818219427522,1.0,0.08433880626563174,0.9720163280235877,0.0909075416171208,-0.09735258539203792,0.099646420502384,-0.13194365396568325,0.10179212032847164,-0.13984954880621403,0.1360157471064959,0.3671757394319983,0.1416920658914366,0.466721418258909,0.14385078364991047,0.490932518646254,0.04693030187256706,0.5029331544831697,0.021230429040506243,0.006639444358202173,0.028153031926952243,0.011540364275800524,0.13167884760561957,0.06414204707157031,0.1705165911333061,0.07674983326038692,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.06060443126119473,-0.06060443126119473,,
